mk_Calendar,mk_Customer,mk_PaymentMethod,mk_paymentstatus,amount_EUR
20190101,1,1,2,13.8016333158495
20190102,2,2,2,27.4218119950548
20190102,3,3,3,95.2215572972771
20190103,4,1,2,73.3589850544864
20190104,5,3,2,77.1317364667259
20190105,6,1,2,9.82993901746339
20190106,7,2,2,53.2380443871398
20190101,8,3,2,29.2828269064614
20190102,1,1,3,69.5409275385203
20190103,2,1,1,18.4042714976632
20190104,3,3,2,78.523277787534
20190105,4,1,3,5.09766048265048
20190106,5,2,2,93.8364856254602
20190101,6,3,2,99.3935206004557
20190102,1,3,2,84.1799330578349
20190103,2,1,2,17.4293620674944
20190104,1,3,2,93.2658476685821
20190105,2,1,2,23.1825911248463
20190106,1,2,2,8.49495228715553
20190101,2,3,2,64.9082910984732
20190102,3,2,2,77.5338084304614
20190103,4,3,2,63.670799496373
20190104,5,1,2,72.413184327443
20190106,6,3,2,69.530690773452
20190101,7,1,2,91.5288209123623
20190102,8,2,1,55.9109471392824
20190103,4,3,2,34.377408354807
20190104,1,2,3,21.8371492575144
20190105,1,3,2,78.709039334417
20190102,2,2,2,68.6311008787422
20190103,1,1,2,30.899687972169
20190104,2,2,2,98.7276194932791
20190105,3,3,2,96.5425041148863
20190106,4,1,2,58.5731849398561
20190101,5,2,2,2.14911043989537
20190102,6,3,2,81.0969174814033
20190103,7,1,2,20.8186133430522
20190104,8,2,2,56.2767704350407
20190105,1,3,1,92.7789768727674
20190106,1,1,2,41.3970761250197
20190101,2,2,3,1.0772923726335
20190102,3,3,2,98.550624035972
20190103,4,1,2,83.3826280907285
20190104,3,2,2,84.486699203268
20190105,1,3,2,30.8988947281681
20190106,1,1,2,93.9157579016345
20190101,2,2,2,57.375607860293
20190102,1,3,1,89.2867553635664
20190103,2,1,2,53.6203705600649
20190104,3,2,2,51.1892758799157
20190102,4,3,2,88.7989280996901
20190103,5,1,2,16.0544664519945
20190104,6,2,3,68.4122891405106
20190105,7,3,2,99.9542193962382
20190106,1,1,2,27.0760649639679
20190101,2,2,2,80.3659325160312
20190102,3,1,2,46.6830434401372
20190103,4,2,2,17.8136162839473
20190104,5,3,2,24.0275434043145
20190105,6,1,2,69.2809684711242
20190106,7,2,2,47.1237174369684
20190101,1,3,2,54.5741426819041
20190102,2,1,2,56.3341190264457
20190103,3,2,3,45.7758239493993
20190104,4,3,2,57.3743654892277
20190104,5,1,2,12.8778356676197
20190105,6,2,2,57.4290823112698
20190106,7,3,2,7.62413822493958
20190101,8,1,2,83.2414990251212
20190102,4,2,2,12.1190900785242
20190103,5,3,2,29.1514006459124
20190104,6,3,2,80.4226935785837
20190105,7,1,1,24.3019147234849
20190106,8,2,2,48.1587878909843
20190101,2,3,3,69.0430712465215
20190102,1,2,1,70.5785784741791
20190103,2,3,2,59.6275487580817
20190104,3,1,2,9.75048547367604
20190101,4,2,2,85.5747241575188
20190102,5,3,2,27.7427906098986
20190103,6,3,2,53.7134551376784
20190104,7,1,2,41.4115165251858
20190105,8,2,3,5.87688814880816
20190106,1,3,1,48.1647039559651
20190101,2,3,2,59.4880292756693
20190102,3,3,3,30.764638618418
20190103,4,1,2,69.4250502253285
20190104,1,2,2,70.790767328531
20190105,2,3,3,30.0005776333261
20190106,3,1,1,69.3943893470838
20190101,4,2,2,48.1694391125192
20190102,5,3,3,85.7672098183328
20190103,6,1,2,27.3352427842454
20190104,7,2,3,98.9634327403235
20190105,8,3,1,13.3461093638397
20190106,1,3,2,15.466501217915
20190101,2,3,3,38.5055061852599
20190102,1,1,1,44.9593427864668
20190103,2,2,2,38.7444880384241
20190104,3,3,3,53.5457896085076
