mk_Calendar,mk_Customer,mk_Provider,mk_device,rounds,turnover_EUR,gameWin_EUR,bonus cost,totalAccountingRevenue_EUR,isCutomerActive
20190101,1,1,1,1,44.8129339310202,1.56845268758571,-3.4566090675214,-1.8881563799357,1
20190102,2,2,2,2,84.607831246723,-42.3039156233615,-3.99404237794065,-46.2979580013021,1
20190103,3,1,1,3,81.788408914444,2.86259431200554,-0.465174677571876,2.39741963443366,1
20190104,4,2,2,4,13.2440251110127,0.463540878885444,-1.49611211886682,-1.03257123998138,1
20190105,5,3,1,5,13.2411714314028,-6.62058571570142,,-6.62058571570142,1
20190106,6,1,1,6,91.981273065974,3.21934455730909,-19.7602831550007,-16.5409385976916,1
20190101,7,2,2,7,47.7058307214529,1.66970407525085,-9.57260127824153,-7.90289720299068,1
20190102,8,1,1,8,33.1726383748924,1.16104234312124,-4.45693731394631,-3.29589497082507,1
20190103,1,2,2,9,76.3334783234968,2.67167174132239,-14.688580507146,-12.0169087658236,1
20190104,2,3,1,10,84.9769563181435,-42.4884781590717,-12.8146027268001,-55.3030808858718,1
20190105,3,4,1,11,48.2415107888773,1.6884528776107,-16.4702498194884,-14.7817969418777,1
20190106,4,3,2,12,25.2804932243714,-12.6402466121857,,-12.6402466121857,1
20190101,5,4,1,13,38.6029420560524,-19.3014710280262,-3.26331064221852,-22.5647816702447,1
20190102,6,1,2,14,70.5289789644876,2.46851426375706,-14.0173090429244,-11.5487947791673,1
20190103,1,2,1,15,57.6627116781367,2.01819490873479,-16.5821576831456,-14.5639627744108,1
20190104,2,1,2,16,30.3885114487158,1.06359790070505,-1.46831002559052,-0.404712124885471,0
20190105,1,2,1,17,37.6443403532134,1.31755191236247,,1.31755191236247,1
20190106,2,3,2,1,65.395566514566,-32.697783257283,-8.37266703516301,-41.070450292446,1
20190101,1,1,1,2,77.7216428516209,2.72025749980673,-12.5276582868626,-9.8074007870559,1
20190102,2,2,1,3,14.3672894308006,0.502855130078023,-18.4409196402039,-17.9380645101259,1
20190103,3,3,1,4,54.3699639452573,1.902948738084,-14.8184934849432,-12.9155447468592,1
20190104,4,1,1,5,84.8186324033293,2.96865213411653,-13.6027143263489,-10.6340621922324,0
20190105,5,2,2,6,43.7370971837275,-21.8685485918638,-4.69738075734036,-26.5659293492041,1
20190106,6,3,1,7,70.1630249705435,-35.0815124852717,,-35.0815124852717,1
20190101,7,4,2,8,60.4062855225645,2.11421999328976,-13.9212440547155,-11.8070240614258,1
20190102,8,1,1,9,25.4808028022091,-12.7404014011045,-7.95925427207389,-20.6996556731784,1
20190103,4,2,1,10,87.8772592441569,3.07570407354549,-19.8028038770774,-16.7270998035319,1
20190104,1,3,1,11,20.9115701863826,0.731904956523391,-15.7215194939658,-14.9896145374424,0
